id;s;s_id;t;t_id;design;offdesign;design_path;m;m_unit;m_unit_set;m0;m_set;m_ref;m_ref_f;m_ref_d;m_ref_set;p;p_unit;p_unit_set;p0;p_set;p_ref;p_ref_f;p_ref_d;p_ref_set;h;h_unit;h_unit_set;h0;h_set;h_ref;h_ref_f;h_ref_d;h_ref_set;T;T_unit;T_unit_set;T0;T_set;T_ref;T_ref_f;T_ref_d;T_ref_set;x;x_unit;x_unit_set;x0;x_set;x_ref;x_ref_f;x_ref_d;x_ref_set;v;v_unit;v_unit_set;v0;v_set;v_ref;v_ref_f;v_ref_d;v_ref_set;Td_bp;Td_bp_unit;Td_bp_unit_set;Td_bp0;Td_bp_set;Td_bp_ref;Td_bp_ref_f;Td_bp_ref_d;Td_bp_ref_set;state;state_set;H2O;H2O0;H2O_set;R245FA;R245FA0;R245FA_set;balance
0x7f48cd4f9eb8;system return;out1;condenser;in2;[];[];nan;5.958393531353364;kg / s;False;5.958393531353364;False;nan;nan;nan;False;10.0;bar;False;10.0;True;nan;nan;nan;False;252.00330994078413;kJ / kg;False;252.00330994078413;False;nan;nan;nan;False;59.99999999999221;C;False;59.99999999999221;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.006057810765732202;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7f48cd4f9c88;condenser;out2;system feed;in1;[];[];nan;5.958393531353364;kg / s;False;5.958393531353364;False;nan;nan;nan;False;9.9;bar;False;9.9;False;nan;nan;nan;False;419.83378215413325;kJ / kg;False;419.83378215413325;False;nan;nan;nan;False;99.99999999999733;C;False;99.99999999999733;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.006214648535800096;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f48cd503278;coolant in;out1;condenser;in1;[];[];nan;7.406820579536537;kg / s;False;7.406820579536537;False;nan;nan;nan;False;14.117460148236809;bar;False;14.117460148236809;False;nan;nan;nan;False;474.56906057519086;kJ / kg;False;474.56906057519086;False;nan;nan;nan;False;105.0;C;False;105.0;False;nan;nan;nan;False;0.9684333023953484;nan;False;nan;False;nan;nan;nan;False;0.08772043339203017;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;True;1;1;True;False
0x7f48cd503518;condenser;out1;valve;in1;[];[];nan;7.406820579536538;kg / s;False;7.406820579536538;False;nan;nan;nan;False;13.976285546754443;bar;False;13.976285546754443;False;nan;nan;nan;False;339.55836478990534;kJ / kg;False;339.55836478990534;False;nan;nan;nan;False;99.53683748009144;C;False;99.53683748009144;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.006750058430259846;m3 / s;False;nan;False;nan;nan;nan;False;-5.0;C;False;-5.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f48cd503748;valve;out1;drum;in1;[];[];nan;7.406820579536538;kg / s;False;7.406820579536538;False;nan;nan;nan;False;2.9456398767353082;bar;False;2.9456398767353082;False;nan;nan;nan;False;339.55836478990534;kJ / kg;False;339.55836478990534;False;nan;nan;nan;False;44.998456056245686;C;False;44.998456056245686;False;nan;nan;nan;False;0.44482580750835515;nan;False;nan;False;nan;nan;nan;False;0.2044307834324861;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f48cd5039e8;drum;out1;evaporator reciculation pump;in1;[];[];nan;29.62728231814615;kg / s;False;29.62728231814615;False;nan;nan;nan;False;2.9456398767353082;bar;False;2.9456398767353082;False;nan;nan;nan;False;259.8576220673299;kJ / kg;False;259.8576220673299;False;nan;nan;nan;False;44.99845605624563;C;False;44.99845605624563;False;nan;nan;nan;False;-2.1205848941552674e-15;nan;False;nan;False;nan;nan;nan;False;0.023105601369617184;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f48cd503c18;evaporator reciculation pump;out1;evaporator;in2;[];[];nan;29.62728231814615;kg / s;False;29.62728231814615;False;0x7f48cd503748;4.0;0.0;True;2.97539381488415;bar;False;2.97539381488415;False;nan;nan;nan;False;259.8603519849172;kJ / kg;False;259.8603519849172;False;nan;nan;nan;False;45.00000000000108;C;False;45.00000000000108;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.02310546258707017;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f48cd503e48;evaporator;out2;drum;in2;[];[];nan;29.62728231814615;kg / s;False;29.62728231814615;False;nan;nan;nan;False;2.9456398767353082;bar;False;2.9456398767353082;False;nan;nan;nan;False;284.72566857852456;kJ / kg;False;284.72566857852456;False;nan;nan;nan;False;44.998456056245686;C;False;44.998456056245686;False;nan;nan;nan;False;0.13879354812290925;nan;False;nan;False;nan;nan;nan;False;0.271040376860111;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f48cd5034e0;drum;out2;superheater;in2;[];[];nan;7.406820579536541;kg / s;False;7.406820579536541;False;nan;nan;nan;False;2.9456398767353082;bar;False;2.9456398767353082;False;nan;nan;nan;False;439.0305508346838;kJ / kg;False;439.0305508346838;False;nan;nan;nan;False;44.99845605624563;C;False;44.99845605624563;False;nan;nan;nan;False;0.9999999999999997;nan;False;nan;False;nan;nan;nan;False;0.45236555892297964;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f48cd49c2e8;storage return;out1;superheater;in1;[];[];nan;6.137030966579495;kg / s;False;6.137030966579495;False;nan;nan;nan;False;5.0;bar;False;5.0;True;nan;nan;nan;False;335.372594843177;kJ / kg;False;335.372594843177;False;nan;nan;nan;False;79.99999999999801;C;False;79.99999999999801;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.006314018572716457;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;True;0;0;True;False
0x7f48cd49c630;superheater;out1;evaporator;in1;[];[];nan;6.137030966579495;kg / s;False;6.137030966579495;False;nan;nan;nan;False;4.95;bar;False;4.95;False;nan;nan;nan;False;329.79411538608576;kJ / kg;False;329.79411538608576;False;nan;nan;nan;False;78.67128210355293;C;False;78.67128210355293;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.006308689650683639;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f48cd503080;evaporator;out1;storage feed;in1;['T'];[];nan;6.137030966579495;kg / s;False;6.137030966579495;False;nan;nan;nan;False;4.9005;bar;False;4.9005;False;nan;nan;nan;False;209.75369866655154;kJ / kg;False;209.75369866655154;False;nan;nan;nan;False;49.99999999999244;C;False;49.99999999999244;True;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.00621028356652118;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;1;1;False;0;0;False;False
0x7f48cd49c8d0;superheater;out2;compressor 1;in1;[];[];nan;7.406820579536541;kg / s;False;7.406820579536541;False;nan;nan;nan;False;2.916183477967955;bar;False;2.916183477967955;False;nan;nan;nan;False;443.6526826666849;kJ / kg;False;443.6526826666849;False;nan;nan;nan;False;49.68187046184835;C;False;49.68187046184835;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.4668513198829155;m3 / s;False;nan;False;nan;nan;nan;False;5.0;C;False;5.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f48cd49cba8;compressor 1;out1;intercooler;in1;[];[];nan;7.406820579536541;kg / s;False;7.406820579536541;False;nan;nan;nan;False;4.374275216951933;bar;False;4.374275216951933;False;nan;nan;nan;False;451.7614468515554;kJ / kg;False;451.7614468515554;False;nan;nan;nan;False;61.269175300007475;C;False;61.269175300007475;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.31220931024901494;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f48cd49ce10;intercooler;out1;compressor 2;in1;[];[];nan;7.406820579536541;kg / s;False;7.406820579536541;False;nan;nan;nan;False;4.286789712612895;bar;False;4.286789712612895;False;nan;nan;nan;False;451.0427995136802;kJ / kg;False;451.0427995136802;False;nan;nan;nan;False;60.36430804418603;C;False;60.36430804418603;False;nan;nan;nan;False;-1.0;nan;False;nan;False;nan;nan;nan;False;0.318160317660388;m3 / s;False;nan;False;nan;nan;nan;False;3.0;C;False;3.0;True;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
0x7f48cd49c550;compressor 2;out1;coolant out;in1;[];[];nan;7.406820579536541;kg / s;False;7.406820579536541;False;nan;nan;nan;False;14.117460148236809;bar;False;14.117460148236809;False;0x7f48cd503278;1.0;0.0;True;474.56906057519086;kJ / kg;False;474.56906057519086;False;0x7f48cd503278;1.0;0.0;True;105.0;C;False;105.0;False;nan;nan;nan;False;0.9684333023953484;nan;False;nan;False;nan;nan;nan;False;0.08772043339203023;m3 / s;False;nan;False;nan;nan;nan;False;nan;C;False;nan;False;nan;nan;nan;False;nan;False;0;0;False;1;1;False;False
